,assoc_req_count,assoc_succ_count,auths_count,deauth1_count,deauth2_count,deauth3_count,deauth_total,assoc_succ + auth
5a:45:de:a1:27:92,33.0,33.0,38.0,30.0,25.0,4.0,59.0,71.0
ac:a3:1e:5b:aa:40,16.0,16.0,16.0,16.0,15.0,0.0,31.0,32.0
00:00:08:f7:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a6:e9:75:46:54:81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e:5b:4e:00:1f:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:ad:56:4e:6c:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c:57:3c:8e:c9:90,99.0,99.0,99.0,97.0,97.0,35.0,229.0,198.0
8c:85:90:80:86:01,4.0,4.0,4.0,4.0,2.0,2.0,8.0,8.0
00:80:06:5d:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5a:65:e0,46.0,46.0,49.0,39.0,33.0,1.0,73.0,95.0
9c:5a:ca:00:3e:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec:58:ea:3f:1b:68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c:22:fb:39:ba:78,0.0,0.0,3.0,3.0,0.0,3.0,6.0,3.0
90:4c:81:93:5a:c1,5.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0
f0:ef:86:73:9c:54,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
ac:a3:1e:5a:5e:e1,145.0,145.0,145.0,46.0,138.0,0.0,184.0,290.0
a0:cc:2b:af:28:27,44.0,44.0,46.0,44.0,31.0,9.0,84.0,90.0
90:8c:43:a3:30:5c,20.0,20.0,21.0,15.0,12.0,4.0,31.0,41.0
9a:18:98:fb:9b:7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48:f0:7b:19:a7:0d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:53:02:41,33.0,33.0,33.0,33.0,33.0,0.0,66.0,66.0
c2:48:e6:b2:6f:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e8:4e:06:75:54:21,3.0,3.0,3.0,0.0,3.0,0.0,3.0,6.0
0e:78:06:70:4e:13,138.0,138.0,149.0,139.0,112.0,10.0,261.0,287.0
26:1e:9a:00:2a:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4e:7d:3b:da:cd:b1,154.0,154.0,154.0,153.0,149.0,1.0,303.0,308.0
70:3a:0e:50:f2:90,97.0,97.0,98.0,37.0,90.0,5.0,132.0,195.0
bc:82:5d:b2:53:df,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e8:6f:38:b4:c0:15,3.0,3.0,3.0,1.0,0.0,1.0,2.0,6.0
ac:a3:1e:5a:6d:60,8.0,8.0,9.0,8.0,8.0,0.0,16.0,17.0
bc:82:5d:b3:e9:71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:00:c0:66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0:70:2d:73:56:b2,4.0,4.0,4.0,4.0,2.0,3.0,9.0,8.0
74:6f:f7:45:c3:a6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:53:46:21,21.0,21.0,20.0,21.0,14.0,2.0,37.0,41.0
00:0a:f5:c4:71:c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:51:40:10,11.0,11.0,11.0,8.0,11.0,0.0,19.0,22.0
02:54:af:d0:f5:1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a6:18:88:fb:a4:99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28:80:a2:0b:52:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
